County,State,Total Ballots Cast,Total Ballots Cast,Total Ballots Cast,Voter Turnout Ratio
,,min,max,mean,mean
Cherokee,GA,73727,163445,114683.66666666667,0.7760286501748395
Clark County,NV,545397,1031223,766751.8333333334,inf
Cook County,IL,2014819,2325405,2131107.1666666665,inf
Cuyahoga County,OH,587284,673777,638799.5,0.6725646709044547
Denver County,CO,244897,398485,323136.8333333333,0.7801374807609093
Fulton County,GA,337865,541633,442399.8333333333,0.7628168129943639
Harris County,TX,1384731,1767123,1597333.1666666667,0.7003692088684018
Idaho County,ID,7840,9867,8622.0,0.8164732073693112
Maricopa County,AZ,1194961,2076086,1608797.3333333333,inf
Mecklenburg County,NC,323102,577505,466705.6666666667,inf
Miami-Dade County,FL,1384437,1690325,1529209.5,0.6437185337111984
Milwaukee County,WI,441053,492576,469154.5,inf
New York County,NY,600291,697813,656252.1666666666,inf
Orange County,CA,1094405,1546570,1266439.6666666667,0.7620838610907592
Philadelphia County,PA,674069,743962,710009.1666666666,inf
Test County,CA,1094405,1546570,1266439.6666666667,0.7620838610907592
Wayne County,MI,802195,894239,856123.1666666666,inf
