Election Year,State,County,Total Registered Voters,Total Ballots Cast,Vote by Mail Ballots,Vote Center Ballots,Democratic Votes,Republican Votes,Total Voted,Source,Wisdom
2024,AK,District 01,0,8584,0,0,3367,4861,8584,medsl,0
2024,AK,District 02,0,9563,0,0,4571,4534,9563,medsl,0
2024,AK,District 03,0,11107,0,0,6130,4496,11107,medsl,0
2024,AK,District 04,0,9270,0,0,6161,2691,9270,medsl,0
2024,AK,District 05,0,8020,0,0,3328,4351,8020,medsl,0
2024,AK,District 06,0,12000,0,0,4773,6705,12000,medsl,0
2024,AK,District 07,0,9609,0,0,2513,6777,9609,medsl,0
2024,AK,District 08,0,10805,0,0,2576,7950,10805,medsl,0
2024,AK,District 09,0,11836,0,0,5849,5581,11836,medsl,0
2004,AK,District 1,0,10417,0,0,3662,6303,10417,medsl,0
2008,AK,District 1,0,6970,0,0,2597,4149,6970,medsl,0
2012,AK,District 1,0,7722,0,0,1518,5899,7722,medsl,0
2016,AK,District 1,0,6638,0,0,2573,3180,6638,medsl,0
2020,AK,District 1,0,7314,0,0,3477,3511,7314,medsl,0
2004,AK,District 10,0,10750,0,0,3670,6745,10750,medsl,1
2008,AK,District 10,0,5615,0,0,2074,3392,5615,medsl,1
2012,AK,District 10,0,6570,0,0,1344,4928,6570,medsl,1
2016,AK,District 10,0,9040,0,0,1808,6255,9040,medsl,1
2020,AK,District 10,0,11205,0,0,2727,8081,11205,medsl,1
2024,AK,District 10,0,8763,0,0,4070,4357,8763,medsl,1
2004,AK,District 11,0,13025,0,0,3364,9280,13025,medsl,1
2008,AK,District 11,0,9866,0,0,1924,7736,9866,medsl,1
2012,AK,District 11,0,8631,0,0,2222,6057,8631,medsl,1
2016,AK,District 11,0,9689,0,0,2142,6444,9689,medsl,1
2020,AK,District 11,0,10628,0,0,3130,7096,10628,medsl,1
2024,AK,District 11,0,9840,0,0,4633,4864,9840,medsl,1
2004,AK,District 12,0,11845,0,0,3387,8108,11845,medsl,1
2008,AK,District 12,0,7589,0,0,1914,5467,7589,medsl,1
2012,AK,District 12,0,6482,0,0,1901,4300,6482,medsl,1
2016,AK,District 12,0,9543,0,0,1928,6629,9543,medsl,1
2020,AK,District 12,0,11238,0,0,2957,7893,11238,medsl,1
2024,AK,District 12,0,8515,0,0,4169,4059,8515,medsl,1
2004,AK,District 13,0,16012,0,0,4819,10702,16012,medsl,1
2008,AK,District 13,0,11526,0,0,2800,8432,11526,medsl,1
2012,AK,District 13,0,5707,0,0,2425,3078,5707,medsl,1
2016,AK,District 13,0,6533,0,0,1684,4028,6533,medsl,1
2020,AK,District 13,0,7713,0,0,2666,4652,7713,medsl,1
2024,AK,District 13,0,7577,0,0,3682,3589,7577,medsl,1
2004,AK,District 14,0,15548,0,0,4403,10717,15548,medsl,1
2008,AK,District 14,0,10456,0,0,2132,8108,10456,medsl,1
2012,AK,District 14,0,7068,0,0,3340,3453,7068,medsl,1
2016,AK,District 14,0,10420,0,0,3043,5978,10420,medsl,1
2020,AK,District 14,0,11443,0,0,4261,6714,11443,medsl,1
2024,AK,District 14,0,7426,0,0,4346,2768,7426,medsl,1
2004,AK,District 15,0,15400,0,0,4766,10058,15400,medsl,0
2008,AK,District 15,0,11086,0,0,2510,8227,11086,medsl,0
2012,AK,District 15,0,6451,0,0,3283,2875,6451,medsl,0
